,rounds,reward,NagentsIn,thoryvos,realThoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel,stdii_real,Eii_real
0,1,0.0,1,91.55615232294015,91.7285661160436,10.0,74.0,9.0,7.0,0.6604353733369434,0.761193393075205,0.1348612051244068,0.0,0.26431751017288646,0.8687480053685732,0.8656615981829445,0.7737009921536239,0.9136929589097667,0.9155615232294033,0.7086118587231292,0.9508510530662813
1,1,0.0,1,92.35171321788854,92.44180330797863,8.0,72.0,11.0,9.0,0.6474004756692529,0.6209592953862122,0.14252646335434352,0.0,0.2473881827970896,0.9340984746183308,1.096033352538167,0.8870212351944758,0.9088711226196257,0.9235171321788855,0.7008346542232269,1.007553778928629
2,2,0.0,30,-85.43680382246185,-85.76867935937126,12.0,74.0,6.0,8.0,1.3945785279561371,1.3895043973942343,0.2720107512082253,0.0,0.5462671475147508,-0.4031935890520428,-0.2669536616388639,-0.3827692077381547,-0.8417337595311825,-0.8543680382246197,1.5017626915650748,-0.43189472247194755
3,3,0.8417337595311825,87,-121.42624275050098,-125.06251772694557,12.0,69.0,8.0,11.0,1.3290120755257975,1.270156030833656,0.2537140310572263,0.0,0.5041123713349992,-1.0668711031983966,-1.1141305210285577,-0.990673672633752,-1.264284489404348,-1.214262427505011,1.477996237586152,-1.1869176981652476
4,4,1.264284489404348,66,-138.57674474489784,-139.21338658163253,8.0,78.0,9.0,5.0,1.2463757099843227,1.1040942386390091,0.23475926661239596,0.0,0.3550103241230235,-1.1093787040816325,-1.2480032806122447,-1.0151467301020407,-1.4345892857142857,-1.3857674474489796,1.3565808089582534,-1.2065054081632651
5,5,1.4345892857142857,86,-131.50984852984354,-129.22884051804357,8.0,72.0,9.0,11.0,1.3918511666795153,1.2879248170600872,0.25851634670625073,0.0,0.39525304577008913,-1.2922924109852032,-1.373571577917213,-1.1616145100003121,-1.328178880252232,-1.3150984852984329,1.4857773905377833,-1.3792841061840544
6,6,1.328178880252232,94,-109.86645775536232,-109.14510004128238,12.0,73.0,6.0,9.0,1.5945156216203522,1.4237927148020424,0.34490581708695073,0.0,0.39322147142851793,-1.0495594314436183,-1.0962420773390664,-0.9265856372733061,-1.119921139101862,-1.0986645775536232,1.7064680279168603,-1.1299395123707783
7,7,1.119921139101862,48,-117.92056016729998,-116.86534492205517,14.0,70.0,8.0,8.0,1.3494777849403619,1.335412819312243,0.26713446507030786,0.0,0.6104423974162478,-0.8588616485097637,-1.013603130220296,-0.7536589661498132,-1.3656592221874677,-1.1792056016729973,1.4578818493418306,-0.9365184214963433
8,8,1.3656592221874677,9,36.141004957801066,36.9696949098996,14.0,72.0,9.0,5.0,0.8153210692310446,0.8243008668016586,0.1863714503185135,0.0,0.40452109926078583,0.6412660929516423,0.5565647324361314,0.5652941632641423,0.30269690921532844,0.36141004957801093,0.8736548479801288,0.6942627708713504
9,9,-0.30269690921532844,63,-151.6412704094347,-149.06607797978205,15.0,73.0,9.0,3.0,1.3203397514525137,1.1931118841357322,0.26895366799826814,0.0,0.42203124346928456,-1.1254370985082511,-1.417471807452789,-1.0671515409248276,-1.4855350098785316,-1.5164127040943471,1.4153367308015352,-1.2151890480617105
10,10,1.4855350098785316,65,-133.3122913188536,-131.577663552802,14.0,66.0,13.0,7.0,1.2478043500616631,0.9293359276139467,0.24199867276238693,0.0,0.5349335623808317,-1.172401962279567,-1.4297644842377613,-1.0556883732552598,-1.46316538435351,-1.333122913188534,1.3278202365307352,-1.2563971471369237
11,11,1.46316538435351,69,-141.016100891599,-146.44617604065047,12.0,65.0,13.0,10.0,1.3387830490586936,1.1830465086875854,0.281668712391008,0.0,0.5315624329616679,-1.2177374791327913,-1.2210700859078591,-1.092430141300813,-1.487438617886179,-1.4101610089159893,1.4452152985666211,-1.3181520108401084
12,12,1.487438617886179,88,-119.85579501194444,-122.21958688963196,13.0,68.0,16.0,3.0,1.3733818555352144,1.3043565578206668,0.2610467736962174,0.0,0.6114203829762406,-1.1910302411211975,-0.9254832807771938,-1.0742476870520783,-1.2679671922280618,-1.1985579501194457,1.4817936386925443,-1.29296364707756
13,13,1.2679671922280618,9,42.685867335562996,40.490939799331116,17.0,64.0,12.0,7.0,0.9577558895946993,0.6526156150149802,0.18678272880240954,0.0,0.38540302374780816,0.519447762382545,0.671871364867017,0.49390034639273767,0.33213091256569516,0.4268586733556298,1.013602177284396,0.5696633221850612
