,rounds,reward,NagentsIn,thoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel
0,1,0.0,82,-139.4025008149842,10.0,77.0,8.0,5.0,1.5456230008866683,1.4982910581440236,0.26673627504931496,0.0,0.6986921132959604,-1.233475096000345,-1.2901371417065768,-1.1024977250195356,-1.3167629306831965,-1.394025008149842
1,1,0.0,82,-131.56482593831598,10.0,62.0,21.0,7.0,1.5055142520949596,1.361219855549888,0.32527126283724267,0.0,0.7788832477870513,-1.284162555702027,-1.2359457866931973,-1.1596956176918294,-1.3612157144633752,-1.3156482593831613
2,2,0.0,27,-40.75038277807774,10.0,51.0,31.0,8.0,1.4236510146768493,1.4532721924478922,0.26510064986818593,0.0,0.9761945564094724,-0.25812426322894166,-0.19628926565874727,-0.22527879925755945,-0.685759827213823,-0.4075038277807776
3,3,-29.011491975882016,73,-132.44006799836322,9.0,39.0,31.0,21.0,1.3654012917210152,1.289562126940396,0.26771846671246213,0.0,0.889426668142155,-1.3387934819402596,-1.2606473524160249,-1.249843281116319,-1.4390896663318824,-1.3244006799836328
4,4,-29.011491975882016,78,-131.39775116412582,9.0,36.0,32.0,23.0,1.43417329343574,1.4139826141065934,0.28571313013897226,0.0,0.9327415452473454,-1.2637664103008048,-1.4751685781718442,-1.178455328734543,-1.4154784534212996,-1.313977511641258
5,5,-29.011491975882016,96,-80.64637510047496,17.0,32.0,26.0,25.0,1.8423945540293736,1.6548688863165746,0.3260054549061744,0.0,1.0624151494766527,-1.1156574939382868,-0.8263200667618826,-0.9741169764174444,-1.0975546218487393,-0.8064637510047497
6,6,-29.011491975882016,44,-99.80284025724417,18.0,35.0,22.0,25.0,1.4882131002557613,1.5889825020634243,0.27035210448678487,0.0,1.0080310992359,-0.7975124926079242,-0.8888169722057953,-0.7312942223536368,-1.2140819041986988,-0.9980284025724422
7,7,-29.011491975882016,38,-92.95228837976771,17.0,44.0,16.0,23.0,1.5677932209293237,1.669983876898299,0.3161905237939073,0.0,0.9049620850944103,-0.7044330484481057,-1.0113781308439933,-0.6146390301652219,-1.1958376111184514,-0.9295228837976776
8,8,-29.011491975882016,89,-128.49562959709772,20.0,39.0,18.0,23.0,1.6043612150141853,1.5937059813706667,0.35196207150601794,0.0,1.033459193190143,-1.3322874135210863,-1.68072752703224,-1.2539777499081792,-1.245267529665588,-1.2849562959709777
9,9,-29.011491975882016,47,-102.0666880795448,20.0,29.0,25.0,26.0,1.4663351825496032,1.3983107404043553,0.2992941636633918,0.0,1.0932772169806113,-0.9618699708467129,-0.8232577940679399,-0.8636603890977974,-1.301928018139823,-1.0206668807954482
