,rounds,reward,NagentsIn,thoryvos,realThoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel,stdii_real,Eii_real
0,1,0.0,1,92.96368439906661,86.55449024192633,8.0,77.0,11.0,4.0,0.713369946027844,0.6607358739193321,0.1456536627024095,0.0,0.2352853660483985,0.9808464524228498,1.1520938097167186,0.890797000645643,0.9123654044975588,0.9296368439906656,0.0,0
1,1,0.0,1,94.3606219345094,83.54981112369855,8.0,74.0,10.0,8.0,0.7008346542232269,0.6604899476155671,0.15007982625245825,0.0,0.33839993559297443,1.007553778928629,1.2959217694341045,0.8974674946323569,0.9088711226196257,0.9436062193450936,0.0,0
2,2,0.0,55,-135.33509105173775,-118.87204941986023,10.0,60.0,9.0,21.0,1.4303081031669205,1.4158508309906384,0.24908615138199733,0.0,0.5277449314244385,-1.1259692943310398,-1.3222364394092074,-1.0791570725246884,-1.4410049520628798,-1.3533509105173755,0.0,0
3,3,112.59692943310401,93,-108.77484855310192,-102.21622998273695,8.0,51.0,6.0,35.0,1.7172639891102017,1.5446857024342642,0.3338562720780028,0.0,0.6151793163183238,-1.1471659981837075,-1.3341177890318834,-1.0501916454588596,-1.162647442872688,-1.0877484855310204,0.0,0
4,4,114.71659981837075,13,14.896471193100469,12.200817076428436,11.0,52.0,5.0,32.0,1.160819903659546,1.073562526775412,0.22997765768335912,0.0,0.4673297869189832,0.3996217484155262,0.4510508319921267,0.326753815945745,0.030661120545806407,0.1489647119310047,0.0,0
5,5,-39.96217484155265,48,-96.52350553190601,-88.50174854728047,13.0,46.0,5.0,36.0,1.4451115495624485,1.5324965274487294,0.30631550388521683,0.0,0.6278001479622624,-0.9500397297073896,-0.6530458836171268,-0.9182488295999338,-1.248402669862787,-0.9652350553190608,0.0,0
6,6,95.00397297073894,45,-95.51090724389393,-92.28994171169397,5.0,46.0,5.0,44.0,1.467149670906097,1.4743622839324575,0.29311069511105664,0.0,0.5318350345387448,-0.7835414607494289,-1.0073650528246354,-0.6710239024611229,-1.2063456828764718,-0.9551090724389388,0.0,0
7,7,78.35414607494293,54,-121.61204662756602,-112.79054222873901,8.0,40.0,7.0,45.0,1.4299475050935204,1.5074306635475576,0.23521020048837019,0.0,0.6400397300458147,-1.1013139882697947,-1.2742321700879766,-0.9925486642228738,-1.434741935483871,-1.2161204662756597,0.0,0
8,8,110.1313988269795,20,-2.4637031813294548,-3.7941568739063505,9.0,33.0,9.0,49.0,1.3293347158382245,1.2835869143488887,0.23716202059539163,0.0,0.5167532490639699,0.12684482744081127,0.12607465899268444,0.07705189214260115,-0.3842744502772331,-0.024637031813294526,0.0,0
9,9,-12.684482744081114,31,-27.20216820487647,-27.96797301587303,8.0,20.0,6.0,66.0,1.4557131851453777,1.462115667213554,0.280546922648576,0.0,0.5697052847065502,-0.3149022104401898,-0.3092012776959581,-0.29533002248404516,-0.8319585010636557,-0.2720216820487645,0.0,0
