,rounds,reward,NagentsIn,thoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel
0,1,0.0,82,-129.2755635088426,3.0,81.0,8.0,8.0,1.5456230008866683,1.4982910581440236,0.26673627504931496,0.0,0.3616553623571498,-1.233475096000345,-1.2901371417065768,-1.1024977250195356,-1.3167629306831965,-1.2927556350884257
1,1,0.0,82,-150.46859072195744,6.0,71.0,15.0,8.0,1.567432652127547,1.435577631354501,0.30324788603967917,0.0,0.7436526421686771,-1.3568208409095592,-1.6972634671284554,-1.290868288937679,-1.3552495722266888,-1.5046859072195764
2,2,0.0,76,-141.57958811112218,11.0,72.0,6.0,11.0,1.4303864326293332,1.3089064648831117,0.2935815284846218,0.0,0.4000357450058826,-1.3731187984429494,-1.162376210187708,-1.2849727870500107,-1.4610791877527087,-1.4157958811112237
3,3,1.4610791877527087,11,23.519702523550265,11.0,64.0,17.0,8.0,1.0954045696922143,1.0379361561675362,0.22047879960743533,0.0,0.5680010633847747,0.495977738023219,0.5785615945035002,0.4555374401377006,0.15663981793564377,0.23519702523550262
4,4,-0.15663981793564377,10,34.34706883985555,11.0,67.0,14.0,8.0,1.0729664049962493,0.8618185376235221,0.21974315623804774,0.0,0.4423680071048138,0.5575703395024716,0.715104276425364,0.4874900618912472,0.23509007208431587,0.34347068839855555
5,5,-0.23509007208431587,92,-116.4604047404962,17.0,63.0,10.0,10.0,1.7462426019606598,1.6179612178838918,0.3382208146201417,0.0,0.6501599087630782,-1.1736994014129736,-1.1827214200295768,-1.0715247771966847,-1.1861154968345722,-1.1646040474049608
6,6,1.1861154968345722,35,-105.50348787167444,23.0,61.0,12.0,4.0,1.5453506688044936,1.4999484762168738,0.27350271497507095,0.0,0.7763703256850591,-0.5112646322378717,-0.6439120500782473,-0.43566061815336465,-1.118380281690141,-1.055034878716745
7,7,1.118380281690141,15,-7.731017899499849,10.0,73.0,10.0,7.0,1.253530642058309,1.1371769074418416,0.26657355477610684,0.0,0.46470894457415646,0.27820693913170513,0.21985177860902128,0.25758460104798186,-0.1189093453380952,-0.0773101789949984
8,8,0.1189093453380952,1,93.52396873333326,13.0,69.0,11.0,7.0,0.6704922488566067,0.5210614807623677,0.15979812217169492,0.0,0.2122776631155539,0.9857547999999999,1.0319599818181817,0.8749610549090909,0.9196692121212122,0.9352396873333334
9,9,-0.9196692121212122,82,-140.83770401277022,17.0,66.0,13.0,4.0,1.5291914777162163,1.1979847810633195,0.31066290149701264,0.0,0.6588828424029362,-1.2950814855808888,-1.3629194092079577,-1.1398996233059238,-1.3548359399700942,-1.4083770401277047
