,rounds,reward,NagentsIn,thoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel
0,1,0.0,82,-129.2755635088426,3.0,81.0,8.0,8.0,1.5456230008866683,1.4982910581440236,0.26673627504931496,0.0,0.3616553623571498,-1.233475096000345,-1.2901371417065768,-1.1024977250195356,-1.3167629306831965,-1.2927556350884257
1,1,0.0,82,-149.64770404580761,6.0,72.0,14.0,8.0,1.567432652127547,1.435577631354501,0.30324788603967917,0.0,0.7406907305671825,-1.3568208409095592,-1.6972634671284554,-1.290868288937679,-1.3552495722266888,-1.496477040458078
2,2,0.0,39,-102.54296343769867,16.0,65.0,9.0,10.0,1.5386736944952857,1.550120495510177,0.3145176122499722,0.0,0.71004672693004,-0.7317737900801603,-0.5443770775392248,-0.6946548449551542,-1.18264287416296,-1.0254296343769855
3,3,72.9769782064128,72,-136.5364866958969,10.0,69.0,9.0,12.0,1.3028178098343153,1.1939821755532845,0.2735845633008134,0.0,0.4819932092044871,-1.20215588377724,-1.1720741321466746,-1.0761713798835155,-1.4627503871910654,-1.3653648669589689
4,4,120.0354081975438,62,-142.28331372178474,11.0,63.0,10.0,16.0,1.439279685824205,1.4459066243956267,0.2833078618795227,0.0,0.5433005337352712,-1.1894621531513194,-1.6085238071700636,-1.056239141782727,-1.4766815921844558,-1.4228331372178444
5,5,119.72923152967181,57,-140.5353290822842,12.0,47.0,6.0,35.0,1.4653202670937955,1.4349397515085514,0.2978201385673491,0.0,0.623634625665295,-1.2177874102744546,-1.25336967758751,-1.103361205801861,-1.5543784241666017,-1.4053532908228425
6,6,124.18369677066221,32,-62.43072261846901,10.0,50.0,5.0,35.0,1.4819354604910284,1.5086646770477676,0.281106841027675,0.0,0.6335489831001675,-0.3764889905334813,-0.24913296534068463,-0.36135856091798024,-0.8897349435890852,-0.6243072261846904
7,7,40.53840780307683,2,85.19434197945053,6.0,36.0,7.0,51.0,0.7707170688046125,0.6396052008558311,0.15125146935876196,0.0,0.23364539501599838,0.907838096036905,0.9770200838750261,0.8174595619626756,0.821494652967079,0.8519434197945062
8,8,-91.20486223526942,33,-65.34748327974278,10.0,39.0,10.0,41.0,1.4768585075149387,1.3145083919766023,0.2652653919681876,0.0,0.7056971006975117,-0.4544904072883173,-0.5851758413719186,-0.36159368167202577,-0.8842197213290461,-0.6534748327974277
9,9,44.82404072883172,79,-127.46835111481585,10.0,32.0,8.0,50.0,1.4627952130466737,1.5068006203887276,0.2917766984158732,0.0,0.5737533542726179,-1.3401098428575837,-1.4100963083572597,-1.207593243295977,-1.414098249513754,-1.2746835111481585
10,10,137.39332741810995,18,-3.4837848706139996,12.0,37.0,8.0,43.0,1.3690634761504386,1.2494538737294865,0.2565944934532343,0.0,0.6154186119110268,0.09578528123540686,0.3690502033783675,0.08726688199867959,-0.36847646575739523,-0.03483784870614
11,11,-10.257261155214884,93,-104.528776774577,12.0,29.0,10.0,49.0,1.7414898961534089,1.7989776846485293,0.28846009358814934,0.0,0.7912852824697493,-1.083905634938564,-1.026769508805359,-1.0546511632453617,-1.167756936736959,-1.0452877677457693
12,12,112.18731770991918,71,-147.3131625355659,8.0,38.0,12.0,42.0,1.389152937439286,1.286379036668812,0.26571319632073054,0.0,0.6347616227360118,-1.316343503713962,-1.4131501878383481,-1.2464178563011457,-1.455021805363213,-1.473131625355659
13,13,135.71497207604187,61,-119.58561438739677,10.0,41.0,9.0,40.0,1.4152608331864485,1.3359227816134922,0.2662220542182956,0.0,0.6322751167437604,-1.1875592053399133,-1.3671768371769322,-1.104563009585271,-1.3709292334946697,-1.195856143873968
14,14,122.2872527917497,77,-132.74086927794647,14.0,46.0,5.0,35.0,1.428446372755767,1.3631490175519663,0.283860380454765,0.0,0.6133168161483895,-1.3417964722249438,-1.6360033012638386,-1.1866561078083668,-1.4093687077495838,-1.3274086927794653
15,15,134.82272416968746,90,-118.66929329222509,15.0,50.0,3.0,32.0,1.756058457257954,1.7227111029034234,0.320512515851314,0.0,0.6797147317622697,-1.2494255187952092,-1.1310015415629076,-1.1235000529665202,-1.2364034151547492,-1.1866929329222498
16,16,125.93273607652478,78,-145.81394831444337,14.0,59.0,6.0,21.0,1.4866594976516576,1.5071271994547326,0.28814164192345326,0.0,0.6746946320838397,-1.3082737590816622,-1.3989979875036325,-1.1978419653443766,-1.4195319674513223,-1.4581394831444348
17,17,133.97798169136874,29,-61.00163947701523,13.0,57.0,7.0,23.0,1.434851885656539,1.4747264952399832,0.2810883326333208,0.0,0.5274980793202552,-0.31772168852623145,-0.288260474140397,-0.2906536802126838,-0.7335613378911836,-0.6100163947701527
18,18,30.89111158390067,48,-114.36019800355527,14.0,56.0,3.0,27.0,1.4704431450515236,1.4139810488662943,0.2555321799268213,0.0,0.5204833774634148,-0.9701226243675647,-1.0507787534527553,-0.8780688072200191,-1.3074413236701765,-1.1436019800355532
19,19,96.42973816491178,69,-136.02323827906636,9.0,42.0,14.0,35.0,1.3685950891906686,1.3155417172392028,0.2593346256846435,0.0,0.6848895354264749,-1.2695789949936023,-1.441371727145111,-1.1035497889797135,-1.462914307365492,-1.360232382790663
20,20,126.36384009341965,12,25.98507422189262,13.0,41.0,4.0,42.0,1.159875446141338,1.0439293629350181,0.23758578158603771,0.0,0.44615799272568146,0.43319182678262436,0.5572167823996045,0.3966620300680914,0.04382610845187527,0.25985074221892623
21,21,-44.34167756578798,49,-120.90460576656055,7.0,46.0,6.0,41.0,1.5034621069194243,1.4787695405886114,0.311569034196437,0.0,0.4675496248653735,-1.0598413134035776,-1.1521281597647635,-0.9781973263089112,-1.3956819407008085,-1.2090460576656048
22,22,105.55123090745731,18,-5.783547162857173,6.0,39.0,5.0,50.0,1.3470347507522817,1.2217589961587931,0.2566142675466853,0.0,0.44062152032846524,0.14674198046442535,0.46646308617234467,0.12897833766834368,-0.34633389856636343,-0.057835471628571805
23,23,-14.874598848045736,58,-106.62782932172868,9.0,19.0,11.0,61.0,1.4193199774920227,1.3723833988161973,0.27586086632116286,0.0,0.6194163267606212,-1.1279240156062424,-1.089973094237695,-0.9986743886554623,-1.3760396158463384,-1.066278293217287
24,24,112.42475450180069,75,-113.51489985584945,11.0,28.0,9.0,52.0,1.4767935189010717,1.6024289091990782,0.30312152203706105,0.0,0.5254813349144708,-1.367226007031499,-1.7549418057821948,-1.2396254975094791,-1.410110634309719,-1.135148998558495
25,25,136.8396909803661,59,-130.16894872645742,9.0,36.0,3.0,52.0,1.3959822584592254,1.47548591373274,0.24639675225950997,0.0,0.5426164957087851,-1.1903749105122927,-1.5461764973954026,-1.1390139368992693,-1.4647312874880078,-1.3016894872645748
26,26,120.81843598950523,7,61.06821950597825,9.0,27.0,3.0,61.0,0.8694977564467149,0.9036798202200979,0.15478128136230365,0.0,0.20816359846077068,0.7227874860392612,0.6842101421768474,0.647103993065881,0.4502191304943642,0.6106821950597827
