,rounds,reward,NagentsIn,thoryvos,realThoryvos,aIV,aEV,aFN,aBN,stdii,stdfi,stdbi,stdei,stdsel,Eii,Efi,Ebi,Eei,Esel,stdii_real,Eii_real
0,1,0.0,1,95.84045709933204,95.84045709933204,11.0,75.0,7.0,7.0,0.713369946027844,0.7262582855159786,0.1383908401957345,0.0,0.2080833379785019,0.9808464524228498,1.1972714487726448,0.9126132354719735,0.9123654044975588,0.9584045709933199,0.713369946027844,0.9808464524228498
1,1,0.0,1,91.85351630295885,94.57318157492539,8.0,74.0,10.0,8.0,0.6513971085184146,0.6039435477257998,0.1287451468685144,0.0,0.24532999978532435,0.9766325791930782,1.0955674916276235,0.8812861739784029,0.9169534069935444,0.9185351630295895,0.6513971085184146,0.9766325791930782
2,2,0.0,3,77.0755953996985,77.0755953996985,14.0,69.0,6.0,11.0,0.8134883477445046,0.6186517946841521,0.1729395453248789,0.0,0.37023442785143407,0.88504592760181,1.0271616138763198,0.7994143085044669,0.7371557025176936,0.7707559539969835,0.8134883477445046,0.88504592760181
3,3,-77.0755953996985,66,-146.92406859492982,-147.4231426690039,18.0,65.0,7.0,10.0,1.44010537786664,1.3441422141193475,0.2802879309937701,0.0,0.6218651021859647,-1.3699281886012225,-1.5282290776699028,-1.2824217864527148,-1.5840159115426105,-1.4692406859492988,1.44010537786664,-1.3699281886012225
4,4,147.4231426690039,54,-106.57605137186302,-107.42427950874514,14.0,70.0,8.0,8.0,1.3448643947519543,1.390662694347301,0.2558452818102515,0.0,0.4881536474749813,-0.8292971352091255,-0.8234188368060836,-0.7394912469961977,-1.2162827984790876,-1.0657605137186312,1.3448643947519543,-0.8292971352091255
5,5,107.42427950874514,89,-132.98363153946931,-130.09152627631138,14.0,66.0,9.0,11.0,1.6572410229601873,1.668373503709528,0.35285614462152026,0.0,0.6538904102632731,-1.276118477014201,-1.5370222655016317,-1.1545455775871145,-1.2555846681922198,-1.3298363153946953,1.6572410229601873,-1.276118477014201
6,6,130.09152627631138,44,-114.60755030926035,-115.96491312319796,12.0,67.0,12.0,9.0,1.4322808649023693,1.4059417300826595,0.26010802981711484,0.0,0.6018321673811099,-0.7572838528757897,-0.9326353155334464,-0.6557769964121415,-1.137278026017477,-1.146075503092602,1.4322808649023693,-0.7572838528757897
7,7,115.96491312319796,33,-63.510161631121555,-64.29141163112155,14.0,63.0,11.0,12.0,1.4368440197539476,1.4223297724625936,0.25065911800524576,0.0,0.6508932392592959,-0.45749531496840445,-0.5402210752369668,-0.3560656032780411,-0.8444070892575037,-0.6351016163112163,1.4368440197539476,-0.45749531496840445
8,8,64.29141163112155,13,25.252494644614845,22.771566537544572,15.0,67.0,11.0,7.0,1.1406876462959326,1.1606212237282203,0.2082829855953673,0.0,0.39125860887978686,0.38364296090033645,0.3774805284648694,0.3459641545011209,0.08558516256283007,0.2525249464461486,1.1406876462959326,0.38364296090033645
9,9,-22.771566537544572,7,55.62819863730243,56.95021323708239,17.0,63.0,11.0,9.0,0.8630715904569007,0.8764824534624726,0.1695221013260571,0.0,0.41325211659527616,0.7280559045725645,0.631126889304947,0.6585001137871798,0.48214376652705127,0.556281986373024,0.8630715904569007,0.7280559045725645
10,10,-56.95021323708239,10,31.30261987921994,30.81511250371256,9.0,70.0,13.0,8.0,1.0208339264302446,0.9928122978540739,0.22267812748743618,0.0,0.3838818210399354,0.5591367626967627,0.6742042847242847,0.5315006747846748,0.24375368775368775,0.3130261987921988,1.0208339264302446,0.5591367626967627
11,11,-30.81511250371256,97,-101.55308782507113,-107.89375909512505,15.0,58.0,16.0,11.0,1.8751179384331524,1.9371020722704082,0.3884377441564106,0.0,0.9405693327531788,-1.128209215362946,-0.9559864646672849,-0.9603759914459444,-1.0765867944621936,-1.0155308782507126,1.8751179384331524,-1.128209215362946
12,12,107.89375909512505,27,-45.68201643860549,-41.524824644214746,13.0,67.0,9.0,11.0,1.39674316863507,1.3097422865219643,0.259244746567976,0.0,0.49390690079201505,-0.1243240634788399,-0.021840047427096495,-0.1122820972058684,-0.6509276589184917,-0.4568201643860553,1.39674316863507,-0.1243240634788399
13,13,41.524824644214746,1,95.89062402936038,97.82583189006195,19.0,61.0,11.0,9.0,0.6772017838798351,0.5523900580143176,0.13730700268023227,0.0,0.27295421342904075,0.9569758533170926,1.1618803119158188,0.8990368755064667,0.9119016968220537,0.9589062402936027,0.6772017838798351,0.9569758533170926
14,14,-97.82583189006195,91,-120.43424153658287,-119.85487819959056,11.0,67.0,8.0,14.0,1.7373279600062626,1.7568065936691428,0.35586872271679076,0.0,0.7191568357401907,-1.2056806850376116,-1.1236124471462263,-1.0899637373420579,-1.193729967069155,-1.204342415365827,1.7373279600062626,-1.2056806850376116
15,15,119.85487819959056,32,-95.86996995336729,-95.84514714165566,11.0,72.0,11.0,6.0,1.4638382741969391,1.5164554663178376,0.2714789261669529,0.0,0.5546317293797296,-0.4717879428178274,-0.7642218594908646,-0.406815126244171,-0.9064404250439569,-0.9586996995336748,1.4638382741969391,-0.4717879428178274
16,16,95.84514714165566,36,-92.60238462109407,-92.05575160196942,12.0,69.0,6.0,13.0,1.4939804654727682,1.5835351021046058,0.27747323320284123,0.0,0.502027784719743,-0.5924335658972265,-0.6220320090798882,-0.5043414326801752,-1.0230843786338109,-0.9260238462109404,1.4939804654727682,-0.5924335658972265
17,17,92.05575160196942,10,12.954092989883627,14.434349229378759,18.0,70.0,7.0,5.0,1.089536391428407,1.0910227591639752,0.1951036734986029,0.0,0.5587630876963269,0.5238991199695557,0.5367533235023626,0.49365723864681443,0.13514540322836394,0.12954092989883614,1.089536391428407,0.5238991199695557
18,18,-14.434349229378759,8,35.08030700380404,33.245444618482935,14.0,66.0,12.0,8.0,1.0737976662351898,1.3343160429301624,0.2062157414988478,0.0,0.6634682035537602,0.5637268375303371,0.5011487767010344,0.5129091334148063,0.3032449868323666,0.35080307003803984,1.0737976662351898,0.5637268375303371
19,19,-33.245444618482935,39,-91.15946785521056,-95.8235491509154,16.0,62.0,13.0,9.0,1.4542835317690113,1.4366611679949575,0.24679953562973767,0.0,0.7485195034783507,-0.5307279215316684,-0.2839999315845507,-0.48421233472956704,-1.0642366266994783,-0.9115946785521057,1.4542835317690113,-0.5307279215316684
20,20,95.8235491509154,33,-84.89640595288142,-84.93652753342855,15.0,65.0,8.0,12.0,1.4990664835925913,1.5720326892693066,0.30698671810579853,0.0,0.6365454694465128,-0.5057991299542272,-0.5935690483799273,-0.4492646750603698,-0.9113453632399053,-0.8489640595288154,1.4990664835925913,-0.5057991299542272
21,21,84.93652753342855,43,-115.41005056980042,-116.01005056980043,12.0,70.0,11.0,7.0,1.4712945917432179,1.4315316095754498,0.3156507579855028,0.0,0.6896344149541608,-0.8236719373219373,-0.926402792022792,-0.7893893867521368,-1.1911923076923077,-1.1541005056980056,1.4712945917432179,-0.8236719373219373
22,22,116.01005056980043,25,-50.590839244074814,-50.3855004350399,15.0,68.0,12.0,5.0,1.39927760127235,1.552306049239752,0.28816160882498604,0.0,0.6920046786073817,-0.13263948421675423,-0.4629180802561514,-0.09651023596561441,-0.636436501583545,-0.5059083924407476,1.39927760127235,-0.13263948421675423
23,23,50.3855004350399,56,-134.78744999206214,-132.9651015012204,17.0,64.0,10.0,9.0,1.4296520213640713,1.3319087283732298,0.29598079861419624,0.0,0.6060643403251862,-1.1295651520997978,-1.3007066159712186,-1.0167250823639578,-1.4278711732874814,-1.3478744999206203,1.4296520213640713,-1.1295651520997978
24,24,132.9651015012204,23,-37.02273652769912,-37.02273652769912,9.0,75.0,9.0,7.0,1.3831758263807692,1.1577589354589326,0.29359664437842825,0.0,0.5062233649173885,-0.03711548890146513,0.18880780355907686,-0.006603053197509941,-0.5294473998616613,-0.3702273652769918,1.3831758263807692,-0.03711548890146513
25,25,37.02273652769912,64,-153.65496758770144,-156.06108956459767,14.0,71.0,10.0,5.0,1.4365831590737186,1.5929925512690692,0.2946754168349323,0.0,0.6607997932669137,-1.2560241963489074,-1.4366671202443504,-1.1149195654189503,-1.4794149565447277,-1.536549675877013,1.4365831590737186,-1.2560241963489074
26,26,156.06108956459767,36,-90.13409424834545,-86.4970904664356,14.0,72.0,6.0,8.0,1.4777105920155986,1.490977249675311,0.26034805943142947,0.0,0.5468315982663788,-0.5669245477466119,-0.6190307217144657,-0.5285243179955877,-1.012626221241727,-0.9013409424834541,1.4777105920155986,-0.5669245477466119
27,27,86.4970904664356,22,-43.068141990604545,-41.82644533064893,12.0,66.0,13.0,9.0,1.389632199242317,1.4664757370630146,0.2344712852501916,0.0,0.6728066298979184,-0.004290996850962761,-0.07438027773475812,0.005024761912136747,-0.5261513602808322,-0.43068141990604514,1.389632199242317,-0.004290996850962761
28,28,41.82644533064893,44,-93.5937915120359,-97.1697681634403,12.0,62.0,10.0,16.0,1.4315834715387856,1.4176543833357973,0.28596181746030175,0.0,0.6228575385350125,-0.7787483274872592,-0.8342102101909122,-0.6533403207754305,-1.118257923438741,-0.9359379151203576,1.4315834715387856,-0.7787483274872592
29,29,97.1697681634403,49,-118.13663197745659,-118.6681561136977,16.0,65.0,9.0,10.0,1.4217228564443452,1.4684940230896695,0.2578071452453463,0.0,0.5921949015561241,-0.935330239320428,-1.2265920101282366,-0.8279967905333661,-1.3105164583843831,-1.1813663197745652,1.4217228564443452,-0.935330239320428
30,30,118.6681561136977,7,46.77009829178793,47.134947833397504,13.0,68.0,12.0,7.0,1.0050323585605805,0.8834653939149946,0.1779973222067186,0.0,0.3148793641710242,0.681180270495736,0.8207267003237477,0.6207654464822155,0.3870513111997683,0.46770098291787876,1.0050323585605805,0.681180270495736
31,31,-47.134947833397504,62,-141.12011256654412,-142.99548411643798,16.0,66.0,12.0,6.0,1.4196710485697863,1.2892200016185746,0.2940291650754975,0.0,0.6642943825395335,-1.209042313545229,-1.4746003622415362,-1.1158529985279197,-1.4604418489117588,-1.4112011256654429,1.4196710485697863,-1.209042313545229
32,32,142.99548411643798,83,-141.10755444059964,-140.91002733564,14.0,69.0,13.0,4.0,1.576308498570659,1.6952976216604536,0.3353328627084936,0.0,0.6672000693590056,-1.2518292733564012,-1.1936798385236447,-1.1081237035755478,-1.3738662053056516,-1.4110755444059977,1.576308498570659,-1.2518292733564012
33,33,140.91002733564,28,-71.3347638975154,-69.40835215951479,17.0,60.0,10.0,13.0,1.4498000519389376,1.4647170001834457,0.26078866932696904,0.0,0.703622235509402,-0.2154023265439131,-0.12097747420196694,-0.2097482496051961,-0.69958548235707,-0.7133476389751532,1.4498000519389376,-0.2154023265439131
34,34,69.40835215951479,97,-105.8260680968198,-103.77413882190321,13.0,74.0,9.0,4.0,1.7908721705346697,1.7171954056314624,0.3783152524478022,0.0,0.5644121333149758,-0.9852744043665335,-0.9702474723512858,-0.8810024373016326,-1.0782828389830508,-1.0582606809681958,1.7908721705346697,-0.9852744043665335
35,35,103.77413882190321,8,42.55450220673639,40.389961997677155,15.0,71.0,7.0,7.0,1.118867190837496,1.2885559183804245,0.1927073027945768,0.0,0.5096871695166387,0.5572347986062718,0.5124409756097561,0.5301050514285716,0.31309305458768877,0.42554502206736355,1.118867190837496,0.5572347986062718
36,36,-40.389961997677155,52,-132.17813528079608,-128.76646295164628,14.0,66.0,10.0,10.0,1.3835545219932186,1.4062245680546324,0.27659638122032026,0.0,0.6471482746079155,-1.015249959123308,-1.133101663208923,-0.9504474522780026,-1.3402054515950126,-1.3217813528079616,1.3835545219932186,-1.015249959123308
37,37,128.76646295164628,62,-135.69725230566527,-135.73959373235454,17.0,67.0,9.0,7.0,1.361944355731681,1.2349663180782826,0.24071337171682142,0.0,0.5542418454289916,-1.1548646339168076,-1.1967883493318274,-1.0530950112930546,-1.3247449651797474,-1.3569725230566532,1.361944355731681,-1.1548646339168076
38,38,135.73959373235454,10,22.332863071291385,21.35247091442863,14.0,74.0,7.0,5.0,1.1093920304833478,1.0856568338220678,0.22675053769294334,0.0,0.5506021479530333,0.48048856511181187,0.484848102642166,0.43554440034793956,0.20636439418651015,0.22332863071291367,1.1093920304833478,0.48048856511181187
39,39,-21.35247091442863,89,-120.81450409183321,-121.93219301084372,15.0,71.0,8.0,6.0,1.608252458645568,1.486374230182942,0.31532968279843493,0.0,0.5772367789011157,-1.1872451914605218,-1.4283029295154184,-1.0733736716367333,-1.2229517112843102,-1.2081450409183325,1.608252458645568,-1.1872451914605218
